anio,reg,satisfaccion,anomalia
2021,Alicante,2.0,0
2024,Ávila,9.0,0
2022,Lugo,5.0,0
2019,Cádiz,,0
2020,Granada,10.0,0
2026,Málaga,2.0,0
2025,Cuenca,6.0,0
2021,Guipúzcoa,7.0,0
2020,Teruel,,0
2022,Girona,10.0,0
2024,Lleida,,0
2024,Alicante,,0
2021,La Coruña,8.0,0
2019,Zaragoza,5.0,0
2023,Cantabria,4.0,0
2020,Ciudad Real,,0
2025,Sevilla,6.0,0
2025,Orense,8.0,0
2025,Sevilla,6.0,0
2024,Tarragona,6.0,0
2026,Valladolid,,0
2022,Huesca,9.0,0
2025,Málaga,,0
2020,Lugo,2.0,0
2025,Huelva,,0
2021,Cáceres,10.0,1
2020,Álava,7.0,0
2024,Lleida,1.0,0
2024,Cuenca,10.0,0
2025,Granada,8.0,0
2020,León,8.0,0
2019,Asturias,7.0,0
2022,Vizcaya,2.0,0
2024,Cantabria,4.0,0
2022,Almería,8.0,0
2022,Segovia,2.0,0
2024,Granada,7.0,0
2025,Valladolid,2.0,0
2021,Burgos,2.0,0
2022,Albacete,7.0,0
2023,Navarra,10.0,0
2021,Almería,1.0,0
2020,Barcelona,4.0,0
2021,Lleida,8.0,0
2024,Castellón,3.0,0
2019,Málaga,1.0,0
2025,Albacete,,0
2024,Ceuta,9.0,0
2023,Cádiz,5.0,0
2019,Cádiz,3.0,0
2020,Jaén,6.0,0
2020,Barcelona,8.0,0
2020,Guadalajara,2.0,0
2019,Lleida,,0
2026,Ávila,8.0,0
2025,Jaén,6.0,0
2023,Melilla,7.0,0
2023,Navarra,2.0,0
2026,Zamora,5.0,0
2019,Córdoba,8.0,0
2022,Albacete,2.0,0
2023,Toledo,1.0,0
2020,Islas Baleares,6.0,0
2022,Santa Cruz de Tenerife,5.0,0
2023,Navarra,3.0,0
2020,Girona,2.0,0
2019,Santa Cruz de Tenerife,6.0,0
2022,Toledo,2.0,0
2020,Alicante,9.0,0
2024,Álava,4.0,0
2022,Salamanca,10.0,0
2025,Ciudad Real,9.0,0
2020,Lleida,7.0,0
2021,Barcelona,9.0,0
2019,Santa Cruz de Tenerife,5.0,0
2023,Álava,2.0,0
2023,Castellón,7.0,0
2023,Salamanca,10.0,0
2024,Girona,3.0,0
2019,Santa Cruz de Tenerife,2.0,0
2024,Málaga,9.0,0
2019,Lleida,,0
2022,Málaga,9.0,0
2024,La Coruña,,0
2020,Zamora,6.0,0
2019,Ávila,1.0,0
2019,Albacete,7.0,0
2022,Huesca,,0
2023,Lleida,,0
2023,Salamanca,9.0,0
2021,Melilla,7.0,0
2026,Cantabria,9.0,0
2023,Cáceres,2.0,0
2023,Cuenca,,0
2022,Alicante,,0
2022,Almería,2.0,0
2023,Cuenca,9.0,0
2025,Zaragoza,4.0,0
2021,Las Palmas,6.0,0
2020,Ceuta,5.0,0
2025,Girona,2.0,0
2021,Ávila,3.0,0
2026,Santa Cruz de Tenerife,6.0,0
2020,Santa Cruz de Tenerife,3.0,0
2026,Huelva,3.0,0
2023,Cantabria,,0
2023,Segovia,,0
2020,Cáceres,2.0,0
2024,Córdoba,8.0,0
2023,Las Palmas,,0
2021,Lugo,,0
2023,Girona,,0
2021,Valencia,7.0,0
2023,Girona,8.0,0
2022,Burgos,5.0,0
2021,Zamora,,0
2021,León,9.0,0
2024,Guadalajara,10.0,0
2025,Las Palmas,6.0,0
2020,Cáceres,8.0,0
2022,Huelva,5.0,0
2019,Cuenca,3.0,0
2023,Vizcaya,2.0,0
2024,Pontevedra,10.0,0
2026,Teruel,9.0,0
2024,Teruel,10.0,0
2019,Lugo,9.0,0
2024,Valencia,8.0,0
2021,Girona,,0
2019,Vizcaya,10.0,0
2023,Barcelona,3.0,0
2023,Madrid,,0
2023,Castellón,,0
2026,Santa Cruz de Tenerife,9.0,0
2025,León,7.0,0
2020,Cádiz,4.0,0
2025,Las Palmas,5.0,0
2019,Málaga,4.0,0
2019,Santa Cruz de Tenerife,10.0,0
2025,Zaragoza,9.0,0
2020,Badajoz,3.0,0
2021,Zamora,6.0,0
2020,Cuenca,2.0,0
2023,Las Palmas,7.0,0
2024,Valencia,3.0,0
2023,Navarra,9.0,0
2022,Toledo,10.0,0
2026,Zaragoza,,0
2020,Navarra,,0
2025,Murcia,9.0,0
2019,Lugo,9.0,0
2021,Teruel,2.0,0
2025,Lleida,,0
2024,La Rioja,7.0,0
2024,Valencia,2.0,0
2024,Barcelona,5.0,0
2020,Málaga,7.0,0
2022,Álava,,0
2024,Lleida,8.0,0
2020,La Coruña,8.0,0
2026,Ceuta,2.0,0
2025,Barcelona,4.0,0
2025,Salamanca,3.0,0
2024,Orense,,0
2020,Huelva,2.0,0
2023,Castellón,9.0,0
2023,Las Palmas,4.0,0
2019,Ceuta,2.0,0
2024,Orense,,0
2025,Santa Cruz de Tenerife,4.0,0
2024,Asturias,3.0,0
2022,Teruel,6.0,0
2024,Santa Cruz de Tenerife,7.0,0
2024,Albacete,7.0,0
2023,Barcelona,4.0,0
2022,Guipúzcoa,1.0,0
2025,Barcelona,9.0,0
2025,Burgos,5.0,0
2019,Almería,9.0,0
2023,Lleida,,0
2025,Castellón,,0
2019,Huesca,6.0,0
2022,Zamora,,0
2019,Almería,7.0,0
2019,Segovia,10.0,0
2023,Soria,4.0,0
2019,Girona,8.0,0
2020,Murcia,3.0,0
2022,Tarragona,9.0,0
2023,Huesca,6.0,0
2025,Lugo,4.0,0
2024,Melilla,,0
2023,Cáceres,6.0,0
2019,Valladolid,4.0,0
2021,Ceuta,4.0,0
2023,Burgos,6.0,0
2023,Girona,5.0,0
2024,Ceuta,9.0,0
2024,Toledo,7.0,0
2025,La Rioja,10.0,0
2023,Lleida,,0
2022,Melilla,3.0,0
2021,Murcia,,0
2019,Guipúzcoa,9.0,0
2019,La Rioja,3.0,0
2021,Ceuta,6.0,0
2023,Albacete,5.0,0
2019,Teruel,1.0,0
2019,Santa Cruz de Tenerife,2.0,0
2021,Guipúzcoa,3.0,0
2025,Guadalajara,2.0,0
2023,Barcelona,2.0,0
2021,Madrid,10.0,0
2024,Santa Cruz de Tenerife,10.0,0
2024,Lugo,3.0,0
2021,Badajoz,3.0,0
2026,Málaga,2.0,0
2024,Murcia,,0
2024,La Rioja,,0
2022,Tarragona,5.0,0
2020,Vizcaya,1.0,0
2020,Teruel,9.0,0
2020,Almería,4.0,0
2019,Teruel,3.0,0
2019,Castellón,2.0,0
2020,Huelva,2.0,0
2022,Zaragoza,10.0,0
2020,Huesca,,0
2025,Murcia,2.0,0
2023,Guadalajara,1.0,0
2025,Ceuta,5.0,0
2021,Tarragona,9.0,0
2023,Sevilla,,0
2021,Cádiz,,0
2022,Jaén,7.0,0
2023,Girona,9.0,0
2021,Palencia,,0
2020,Málaga,6.0,0
2022,Cádiz,6.0,0
2024,Cuenca,1.0,0
2026,Girona,3.0,0
2020,Castellón,5.0,0
2024,Badajoz,7.0,0
2019,Navarra,,0
2020,Pontevedra,,0
2021,Sevilla,,0
2019,Teruel,1.0,0
2019,Santa Cruz de Tenerife,10.0,0
2023,La Rioja,6.0,0
2019,Santa Cruz de Tenerife,4.0,0
2025,Santa Cruz de Tenerife,6.0,0
2021,Islas Baleares,5.0,0
2020,Lleida,8.0,0
2021,Badajoz,6.0,0
2022,Tarragona,,0
2021,Soria,5.0,0
2020,Burgos,5.0,0
2025,Melilla,2.0,0
2025,Málaga,1.0,0
2022,Sevilla,7.0,0
2022,Zaragoza,3.0,0
2025,Zamora,5.0,0
2021,Melilla,10.0,0
2024,Vizcaya,,0
2020,Badajoz,2.0,0
2026,Cuenca,5.0,0
2020,La Coruña,,0
2020,Madrid,,0
2026,Asturias,9.0,0
2024,Valencia,,0
2021,Burgos,1.0,0
2020,Álava,9.0,0
2022,Navarra,2.0,0
2019,Burgos,10.0,0
2025,Lugo,3.0,0
2019,Soria,7.0,0
2025,Teruel,6.0,0
2022,Córdoba,,0
2022,Guadalajara,3.0,0
2023,Palencia,,0
2024,Almería,8.0,0
2022,Guipúzcoa,2.0,0
2019,Vizcaya,1.0,0
2023,Toledo,1.0,0
2024,Teruel,9.0,0
2020,Almería,,0
2022,Girona,5.0,0
2026,Islas Baleares,6.0,0
2022,Málaga,3.0,0
2024,Madrid,3.0,0
2022,Burgos,4.0,0
2022,Alicante,5.0,0
2024,Murcia,1.0,0
2022,León,8.0,0
2023,Granada,7.0,0
2020,Córdoba,,0
2020,La Coruña,4.0,0
2023,Guipúzcoa,6.0,0
2021,Tarragona,10.0,0
2021,Badajoz,6.0,0
2025,La Coruña,10.0,0
2025,Orense,4.0,0
2020,Zamora,2.0,0
2019,Cádiz,,0
2021,Cádiz,7.0,0
2022,Salamanca,9.0,0
2021,Alicante,5.0,0
2022,Soria,9.0,0
2020,Santa Cruz de Tenerife,,0
2025,Santa Cruz de Tenerife,4.0,0
2023,Jaén,8.0,0
2020,Albacete,10.0,0
2020,Badajoz,,0
2020,Granada,1.0,0
2020,Lleida,4.0,0
2021,Badajoz,1.0,0
2023,Teruel,4.0,0
2022,Ávila,,0
2025,Segovia,8.0,0
2021,Huelva,8.0,0
2020,Cantabria,8.0,0
2023,Palencia,9.0,0
2023,Toledo,,0
2019,Jaén,,0
2023,Barcelona,7.0,0
2020,Cáceres,1.0,0
2023,Toledo,8.0,0
2019,Santa Cruz de Tenerife,,0
2024,Granada,3.0,0
2023,Santa Cruz de Tenerife,7.0,0
2020,Badajoz,6.0,0
2022,Zamora,1.0,0
2019,Guipúzcoa,9.0,0
2023,Las Palmas,,0
2024,Ávila,3.0,0
2020,Jaén,10.0,0
2020,Palencia,3.0,0
2020,Asturias,5.0,0
2023,Girona,3.0,0
2024,Lleida,1.0,0
2021,Pontevedra,8.0,0
2022,Badajoz,7.0,0
2021,Málaga,1.0,0
2024,Zaragoza,8.0,0
2021,Ávila,5.0,0
2024,Ávila,,0
2023,Toledo,1.0,0
2025,Cáceres,,0
2020,Girona,10.0,0
2021,Santa Cruz de Tenerife,4.0,0
2025,Guipúzcoa,6.0,0
2025,Jaén,,0
2022,Ávila,7.0,0
2025,Tarragona,8.0,0
2020,Las Palmas,9.0,0
2026,Álava,,0
2024,Palencia,1.0,0
2025,La Rioja,2.0,0
2020,Lleida,,0
2019,Pontevedra,6.0,0
2026,Valladolid,3.0,0
2026,Cáceres,,0
2023,Las Palmas,7.0,0
2022,Tarragona,8.0,0
2025,Castellón,3.0,0
2023,Ávila,2.0,0
2025,Murcia,,0
2022,Guipúzcoa,8.0,0
2022,Pontevedra,1.0,0
2021,Islas Baleares,,0
2021,Jaén,,0
2022,Palencia,9.0,0
2025,Huelva,,0
2019,Santa Cruz de Tenerife,1.0,0
2026,Alicante,,0
2023,Ávila,,0
2024,Córdoba,,0
2023,Santa Cruz de Tenerife,1.0,0
2022,Granada,3.0,0
2020,Cuenca,8.0,0
2021,Tarragona,1.0,0
2021,Ciudad Real,9.0,0
2020,Castellón,3.0,0
2025,Cuenca,8.0,0
2024,León,9.0,0
2023,Valladolid,,0
2022,Cuenca,,0
2021,Segovia,,0
2022,Sevilla,2.0,0
2025,Huelva,8.0,0
2019,Asturias,8.0,0
2024,Pontevedra,3.0,0
2020,Orense,1.0,0
2022,Valladolid,3.0,0
2019,Castellón,9.0,0
2024,Salamanca,,0
2022,Guadalajara,3.0,0
2020,Melilla,,0
2025,Islas Baleares,,0
2024,León,,0
2021,Santa Cruz de Tenerife,6.0,0
2020,Guipúzcoa,8.0,0
2023,Murcia,7.0,0
2024,Segovia,3.0,0
2025,La Rioja,1.0,0
2022,Pontevedra,,0
2024,Burgos,1.0,0
2025,Barcelona,,0
2024,Madrid,10.0,0
2026,Cáceres,9.0,0
2024,Jaén,2.0,0
2023,La Coruña,,0
2026,Granada,9.0,0
2024,Soria,5.0,0
2019,Pontevedra,10.0,0
2025,Córdoba,8.0,0
2021,Asturias,,0
2019,Cantabria,10.0,0
2021,Castellón,4.0,0
2019,Jaén,6.0,0
2026,Murcia,3.0,0
2023,Ceuta,1.0,0
2022,Valencia,2.0,0
2021,Salamanca,,0
2021,Zamora,,0
2025,Ávila,2.0,0
2024,Albacete,7.0,0
2019,León,,0
2025,Cuenca,,0
2025,Asturias,,0
2022,Tarragona,9.0,0
2023,Guadalajara,9.0,0
2019,Ávila,9.0,0
2023,Zamora,1.0,0
2025,Girona,7.0,0
2021,Almería,1.0,0
2022,León,5.0,0
2024,Girona,4.0,0
2019,Guadalajara,,0
2022,Huelva,8.0,0
2019,Las Palmas,10.0,0
2019,Girona,3.0,0
2026,Teruel,,0
2019,Orense,2.0,0
2020,Lleida,3.0,0
2025,Guadalajara,,0
2025,Murcia,1.0,0
2020,Pontevedra,9.0,0
2025,Guadalajara,6.0,0
2022,Ávila,,0
2024,Santa Cruz de Tenerife,7.0,0
2020,Las Palmas,4.0,0
2024,Valencia,7.0,0
2020,Islas Baleares,5.0,0
2022,Las Palmas,3.0,0
2025,Teruel,9.0,0
2022,Pontevedra,3.0,0
2019,Huelva,,0
2024,Zamora,,0
2024,Melilla,1.0,0
2022,Guadalajara,8.0,0
2020,Valladolid,5.0,0
2024,Huelva,1.0,0
2025,Cáceres,4.0,0
2019,Segovia,5.0,0
2026,Guipúzcoa,7.0,0
2025,Las Palmas,2.0,0
2022,Zaragoza,4.0,0
2022,Girona,7.0,0
2019,Santa Cruz de Tenerife,10.0,0
2025,Santa Cruz de Tenerife,,0
2022,Castellón,4.0,0
2020,Álava,,0
2024,Sevilla,7.0,0
2020,Albacete,2.0,0
2023,Vizcaya,2.0,0
2026,Las Palmas,9.0,0
2023,Valencia,1.0,0
2021,Guipúzcoa,,0
2024,Navarra,5.0,0
2020,Álava,9.0,0
2026,Palencia,7.0,0
2019,Alicante,9.0,0
2025,Guadalajara,6.0,0
2020,Valencia,8.0,0
2022,Álava,,0
2019,Lugo,10.0,0
2022,Guadalajara,7.0,0
2025,Granada,,0
2025,Santa Cruz de Tenerife,1.0,0
2021,Huelva,8.0,0
2024,Palencia,6.0,0
2024,Sevilla,8.0,0
2021,Jaén,9.0,0
2021,Lleida,,0
2020,Alicante,,0
2021,Santa Cruz de Tenerife,9.0,0
2019,Girona,2.0,0
2026,Girona,6.0,0
2020,Tarragona,9.0,0
2021,Castellón,9.0,0
2022,Ávila,1.0,0
2019,Guipúzcoa,,0
2020,Lleida,,0
